sku,alternate_sku,season,year,product_group,category,long_description,closure,product_name,outsole,product_type,product_sub_type,colour,material,short_description,features,short_description_2,uom,rrp,ecom_description,ecom_features,description_match,image_status,web_enrichment_status,confidence,sku_search_variants,search_terms,web_search_status,web_match_url,web_match_title,web_match_confidence,image_1_url,image_2_url,image_3_url,image_4_url,image_5_url,image_6_url,image_source,image_confidence,review_status
312039901-1,,20Q3,2020,TODDLER,SHOES,BASKETBALL SHOES,BOXING,,OTHER,BOXING,,BLACK/RED,MESH/SYNTHETIC LEATHER,BASKETBALL SHOES,,,PRS,899,,,,PENDING,PENDING,MASTER_ONLY,312039901-1 | 3120399011,312039901-1 | BLACK/RED | SHOES | BOXING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312039902-1,,20Q3,2020,TODDLER,SHOES,BASKETBALL SHOES,BOXING,SPORTS,OTHER,BOXING,,BLACK/WHITE,MESH/SYNTHETIC LEATHER,BASKETBALL SHOES,,,PRS,749,,,,PENDING,PENDING,MASTER_ONLY,312039902-1 | 3120399021,312039902-1 | SPORTS | BLACK/WHITE | SHOES | BOXING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312039902-2,,20Q3,2020,TODDLER,SHOES,BASKETBALL SHOES,BOXING,SPORTS,OTHER,BOXING,,BLACK/WHITE,MESH/SYNTHETIC LEATHER,BASKETBALL SHOES,,,PRS,749,,,,PENDING,PENDING,MASTER_ONLY,312039902-2 | 3120399022,312039902-2 | SPORTS | BLACK/WHITE | SHOES | BOXING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312121102-4,,21Q2,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,BIG KIDS,OTHER,BASKETBALL,,BLK/LMNCE LGHT GRN,MOLDING EVA/RB,BASKETBALL SHOES,,,PRS,799,,,,PENDING,PENDING,MASTER_ONLY,312121102-4 | 3121211024,312121102-4 | BIG KIDS | BLK/LMNCE LGHT GRN | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312121110-1,,21Q2,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,BIG KIDS,OTHER,BASKETBALL,,WHT/BLU/FLRSCNT RD,MOLDING EVA/RB,BASKETBALL SHOES,,,PRS,1049,,,,PENDING,PENDING,MASTER_ONLY,312121110-1 | 3121211101,312121110-1 | BIG KIDS | WHT/BLU/FLRSCNT RD | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312121110-2,,21Q2,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,BIG KIDS,OTHER,BASKETBALL,,BLK/FLRSCNT GRN/SLVR,MOLDING EVA/RB,BASKETBALL SHOES,,,PRS,1049,,,,PENDING,PENDING,MASTER_ONLY,312121110-2 | 3121211102,312121110-2 | BIG KIDS | BLK/FLRSCNT GRN/SLVR | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312121110-3,,21Q2,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,BIG KIDS,OTHER,BASKETBALL,,BLACK/LIGHT GRY/WHT,MOLDING EVA/RB,BASKETBALL SHOES,,,PRS,1049,,,,PENDING,PENDING,MASTER_ONLY,312121110-3 | 3121211103,312121110-3 | BIG KIDS | BLACK/LIGHT GRY/WHT | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312121110-4,,21Q2,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,BIG KIDS,OTHER,BASKETBALL,,BLU/BLU/FLRSCNT RD,MOLDING EVA/RB,BASKETBALL SHOES,,,PRS,1049,,,,PENDING,PENDING,MASTER_ONLY,312121110-4 | 3121211104,312121110-4 | BIG KIDS | BLU/BLU/FLRSCNT RD | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312121130-1,,21Q2,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,BIG KIDS,OTHER,BASKETBALL,,BLUE,MOLDING EVA/RB/TPU,BASKETBALL SHOES,,,PRS,1549,,,,PENDING,PENDING,MASTER_ONLY,312121130-1 | 3121211301,312121130-1 | BIG KIDS | BLUE | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312121130-2,,21Q2,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,BIG KIDS,OTHER,BASKETBALL,,BLACK/BLUE,MOLDING EVA/RB/TPU,BASKETBALL SHOES,,,PRS,1549,,,,PENDING,PENDING,MASTER_ONLY,312121130-2 | 3121211302,312121130-2 | BIG KIDS | BLACK/BLUE | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
