sku,alternate_sku,product_name,colour,category,product_type,material,rrp,review_status
312039901-1,,,BLACK/RED,SHOES,BOXING,MESH/SYNTHETIC LEATHER,899,PENDING_REVIEW
312039902-1,,SPORTS,BLACK/WHITE,SHOES,BOXING,MESH/SYNTHETIC LEATHER,749,PENDING_REVIEW
312039902-2,,SPORTS,BLACK/WHITE,SHOES,BOXING,MESH/SYNTHETIC LEATHER,749,PENDING_REVIEW
312121102-4,,BIG KIDS,BLK/LMNCE LGHT GRN,SHOES,BASKETBALL,MOLDING EVA/RB,799,PENDING_REVIEW
312121110-1,,BIG KIDS,WHT/BLU/FLRSCNT RD,SHOES,BASKETBALL,MOLDING EVA/RB,1049,PENDING_REVIEW
312121110-2,,BIG KIDS,BLK/FLRSCNT GRN/SLVR,SHOES,BASKETBALL,MOLDING EVA/RB,1049,PENDING_REVIEW
312121110-3,,BIG KIDS,BLACK/LIGHT GRY/WHT,SHOES,BASKETBALL,MOLDING EVA/RB,1049,PENDING_REVIEW
312121110-4,,BIG KIDS,BLU/BLU/FLRSCNT RD,SHOES,BASKETBALL,MOLDING EVA/RB,1049,PENDING_REVIEW
312121130-1,,BIG KIDS,BLUE,SHOES,BASKETBALL,MOLDING EVA/RB/TPU,1549,PENDING_REVIEW
312121130-2,,BIG KIDS,BLACK/BLUE,SHOES,BASKETBALL,MOLDING EVA/RB/TPU,1549,PENDING_REVIEW
312121130-3,,BIG KIDS,WHITE/GLACIER BLUE,SHOES,BASKETBALL,MOLDING EVA/RB/TPU,1549,PENDING_REVIEW
312125599-1,,BIG KIDS,BLK/FLRSCNT GRN/WHT,SHOES,RUNNING,MOLDING EVA,599,PENDING_REVIEW
312125599-3,,BIG KIDS,BLUE/BLACK/WHITE,SHOES,RUNNING,MOLDING EVA,599,PENDING_REVIEW
312126930-1,,BIG KIDS,BLACK/RED,SHOES,OUTDOOR,MOLDING EVA/TPR,599,PENDING_REVIEW
312126930-2,,BIG KIDS,BLACK/FLRESCNT GRN,SHOES,OUTDOOR,MOLDING EVA/TPR,599,PENDING_REVIEW
312126990-1,,BIG KIDS,BLACK/LUMINANCE ORNG,SHOES,OUTDOOR,MOLDING EVA/RB/TPU,899,PENDING_REVIEW
312126991-1,,BIG KIDS,BLACK/GREEN,SHOES,OUTDOOR,MOLDING EVA/RB/TPU,699,PENDING_REVIEW
312128008-2,,BIG KIDS,WHITE/GREEN,SHOES,LIFESTYLE,MOLDING EVA,498.99999999999994,PENDING_REVIEW
312128858-2,,BIG KIDS,COAST BLU/ORNG/WHT,SHOES,LIFESTYLE,MOLDING EVA,498.99999999999994,PENDING_REVIEW
312128862-1,,BIG KIDS,WHT/BLU/FLRSCNT RD,SHOES,LIFESTYLE,MOLDING EVA/RB/TPU,799,PENDING_REVIEW
312131115-4,,,BLACK,SHOES,BASKETBALL,MESH/SYNTHETIC LEATHER,899,PENDING_REVIEW
312131120-2,,,BLK/LMNC LGHT GRN,SHOES,BASKETBALL,MESH/TPU,1299,PENDING_REVIEW
312133301S-1,,PINGPONG,WHITE,SHOES,BASKETBALL,SYNTHETIC LEATHER/MESH,649,PENDING_REVIEW
312135501-1,,,WHT/BLK/FLRSNT GRN,SHOES,RUNNING,MESH/TPU,1299,PENDING_REVIEW
312135501-3,,,BLACK/SILVER,SHOES,RUNNING,MESH/TPU,1299,PENDING_REVIEW
312135530-2,,,BLUE/BLACK,SHOES,RUNNING,MESH/SYNTHETIC LEATHER,799,PENDING_REVIEW
312135530-3,,,BLACK,SHOES,RUNNING,MESH/SYNTHETIC LEATHER,799,PENDING_REVIEW
312135530S-1,,,WHT/LGHT SILVER GRAY,SHOES,RUNNING,SYNTHETIC LEATHER/MESH,799,PENDING_REVIEW
312135533-3,,,BLK/LMNC LGHT GRN,SHOES,RUNNING,MESH,799,PENDING_REVIEW
312135533-4,,,BLK/WHT/LMNC ORANGE,SHOES,RUNNING,MESH,799,PENDING_REVIEW
312135555-3,,,BLK/WHT/LUMINANCE RD,SHOES,RUNNING,MESH/SYNTHETIC LEATHER/TPU,549,PENDING_REVIEW
312135585-1,,,BLK/SLVR/FLR AQUA GRN,SHOES,RUNNING,MESH/TPU/SYNTHETIC LEATHER,1049,PENDING_REVIEW
